Название;Артикул;Цвет;Наличие;Цена;Остаток;Группа
Брошь новогодняя Ёлка огоньки 4.5х2см красно-зеленый в золоте 6869899;6869899;НГ;да;143,52p.;1.0;2023 Новый Год
Брошь новогодняя Ёлка стеклянная 6.9х3.5см красно-зеленый в сером металле 4965484;4965484;НГ;да;201,50p.;2.0;2023 Новый Год
Брошь новогодняя Елочная игрушка юла 4х2см цветная в золоте 5445510;5445510;НГ;да;149,50p.;1.0;2023 Новый Год
Брошь Новогодняя сказка Ёлка красно-зеленый в золоте 4311320;4311320;НГ;да;151,91p.;2.0;2023 Новый Год
Брошь новогодняя Собака с оленьими рожками 5.6х6см цветная в золоте 6970870;6970870;НГ;да;85,22p.;3.0;2023 Новый Год
Брошь Олененок 3.5х2.5см розовый в золоте 7062826;7062826;;да;140,79p.;2.0;2023 Новый Год
Брошь Олененок праздничный 5х3.5см белый в серебре 3714543;3714543;НГ;да;89,70p.;2.0;2023 Новый Год
Брошь Олень заснеженные рога 4.8х5.7см белый в серебре 4311276;4311276;НГ;да;156,85p.;1.0;2023 Новый Год
Брошь Олень мятый метелл 5.3х4.1см золото 7077772;7077772;;да;71,63p.;2.0;2023 Новый Год
Брошь Олень чер-бел в золоте 1489200;1489200;;да;105,30p.;1.0;2023 Новый Год
Бубенчики 1.4см 10шт золотистый 2294486;2294486;НГ;да;64,35p.;14.0;2023 Новый Год
Бубенчики 2, 5см 12шт микс 2277663;2277663;НГ;да;106,39p.;8.0;2023 Новый Год
Бубенчики 3см 12шт белый 2277665;2277665;НГ;да;224,64p.;4.0;2023 Новый Год
Бубенчики 3см 12шт микс 2277664;2277664;НГ;да;164,10p.;1.0;2023 Новый Год
Бубенчики 3см 12шт микс 2277667;2277667;НГ;да;193,05p.;4.0;2023 Новый Год
Булавка новогодняя Варежка 6.3х3.8см цветная в серебре 7709459;7709459;НГ;да;117,00p.;3.0;2023 Новый Год
Булавка Снежинка с бусиной 7.4см белый в серебре 2505198;2505198;НГ;да;97,50p.;1.0;2023 Новый Год
Декор для творчества Веточка с 7-ю ягодками 20х5см 2шт 1364514;1364514;;да;99,27p.;3.0;2023 Новый Год
Декор для творчества Звездочка 3.8см 10шт красный 3741063;3741063;;да;61,50p.;3.0;2023 Новый Год
Декор для творчества Звездочка в блестках 10см 144шт микс 1125236;1125236;НГ;да;255,07p.;2.0;2023 Новый Год
Декор Зимнее очарование 16см шишка ягоды и листья 4306265;4306265;НГ;да;76,70p.;10.0;2023 Новый Год
Декор Зимнее очарование 17см ягоды в снегу 4306261;4306261;НГ;да;89,70p.;10.0;2023 Новый Год
Декор Зимнее очарование 17см ягоды листики 4306293;4306293;НГ;да;68,90p.;16.0;2023 Новый Год
Декор Зимнее очарование 18см шишка черника хвоя 5046936;5046936;НГ;да;74,10p.;3.0;2023 Новый Год
Декор Зимнее очарование 18см ягоды и шишка на хвое 4306259;4306259;НГ;да;66,30p.;15.0;2023 Новый Год
Декор Зимнее очарование 19см звезда ягоды листики 4306292;4306292;НГ;да;68,90p.;18.0;2023 Новый Год
Декор Зимнее очарование 19см ягодки хвоя листики 4306277;4306277;НГ;да;94,90p.;17.0;2023 Новый Год
Декор Зимнее очарование 22см звезда ягодки 4306274;4306274;НГ;да;85,80p.;1.0;2023 Новый Год
Декор Зимнее очарование 29см веточка хвои с ягодками в снегу 5046920;5046920;НГ;да;101,40p.;2.0;2023 Новый Год
Декор Зимнее чудо 20см ягоды шишка хвоя в снегу 4301729;4301729;НГ;да;79,30p.;3.0;2023 Новый Год
Декор Зимние грезы 15см подарок яблоко в бисере золото 3573531;3573531;НГ;да;92,30p.;14.0;2023 Новый Год
Декор Зимние грезы 17см ягодки шишки хвоя 4301750;4301750;НГ;да;75,40p.;14.0;2023 Новый Год
Декор Зимние грезы 22см гроздь ягод шишка иней 4301747;4301747;НГ;да;75,40p.;2.0;2023 Новый Год
Декор Зимние мечты калина красная 15см 2334983;2334983;;да;76,70p.;6.0;2023 Новый Год
Декор Зимние мечты красные ягоды 16см 3535533;3535533;НГ;да;53,56p.;3.0;2023 Новый Год
Декор Зимняя магия 21см цветок ягоды листья 4301797;4301797;НГ;да;83,20p.;4.0;2023 Новый Год
Декор Зимняя магия 23см цветок ягоды 4301798;4301798;НГ;да;93,60p.;5.0;2023 Новый Год
Декор Зимняя магия 24см ягоды листья хвоя 4301780;4301780;НГ;да;66,30p.;2.0;2023 Новый Год
Дерев. заготовка подсвечник Елочка 10*10*15см 484024 L-402;484024;;да;199,00p.;1.0;2023 Новый Год
Заготовка из пенопласта Конус 150мм DPZ-36;DPZ-36;нг;да;50,00p.;78.0;2023 Новый Год
Заготовка из пенопласта Конус 250мм DPZ-37;DPZ-37;нг;да;92,00p.;11.0;2023 Новый Год
Заготовка из пенопласта Конус 300мм DPZ-11;DPZ-11;нг;да;94,00p.;42.0;2023 Новый Год
Заготовка-подвеска Шар 7см раздельные части 2291348;2291348;НГ;да;84,24p.;6.0;2023 Новый Год
Заготовка-подвеска Шар со съемной пуцкой 10см 4926970;4926970;НГ;да;134,55p.;5.0;2023 Новый Год
Заготовка-подвеска Шар со съемной пуцкой 8см 2291357;2291357;НГ;да;60,63p.;1.0;2023 Новый Год
Коробка (бонбоньерка) Новогоднее фото 10х5.5х5.5см 5шт 7060249;7060249;;да;97,11p.;1.0;2023 Новый Год
Коробка подарочная Новогодний декупаж 9.1х7х15.7см 5180833;5180833;;да;24,32p.;7.0;2023 Новый Год
Лампочка длинная 15х4см пластик SF-3384 450-243;450-243;НГ;да;40,00p.;1.0;2023 Новый Год
Лента атласная С Новым годом 40мм 22м белый 7841889;7841889;НГ;да;160,77p.;5.0;2023 Новый Год
Лента атласная Шишки и веточки 25мм 23м т.синий 6784851;6784851;НГ;да;121,99p.;5.0;2023 Новый Год
Мешочек новогодний 3503572 Лен салют 10*12см 5шт сине-белый;3503572;;да;59,67p.;5.0;2023 Новый Год
Мешочек новогодний Орнамент 6851723 10*12см 5шт красно-белый;6851723;;да;105,57p.;5.0;2023 Новый Год
Мешочек новогодний Снежинки 10*12см WF-602 5 шт белый с серебром 3503563;3503563;;да;33,03p.;5.8;2023 Новый Год
Мешочек новогодний Снежинки 2315978 10*12см 5 шт синий с серебром;2315978;;да;31,76p.;1.0;2023 Новый Год
Мешочек новогодний Снежинки 3503564 серебристые 8.5х11.5см 5шт т.серый;3503564;;да;26,33p.;9.0;2023 Новый Год
Мешочек новогодний Снежинки 3503566 10х12см 5 шт св.серый с серебром;3503566;;да;26,33p.;7.8;2023 Новый Год
Мешочек подарочный из холщи 13*18см 5шт серый 2909472;2909472;;да;151,32p.;1.0;2023 Новый Год
Мешочек подарочный из холщи 15*21см 5шт коричневый 2909480;2909480;;да;188,50p.;3.0;2023 Новый Год
Набор алмазных стикеров Новый год 3шт DCS015;DCS015;НГ;да;220,00p.;1.0;2023 Новый Год
Набор алмазных стикеров Новый год 3шт DCS017;DCS017;НГ;да;220,00p.;1.0;2023 Новый Год
Набор декоративных шильдиков Веточки 17х15см 6шт 5134187;5134187;НГ;да;20,50p.;2.0;2023 Новый Год
Набор декоративных шильдиков Загадай желание 5х9см 6шт 3557412;3557412;НГ;да;20,50p.;1.0;2023 Новый Год
Набор декоративных шильдиков Новогодние чудо 17х15см 6шт 6981000;6981000;НГ;да;19,71p.;1.0;2023 Новый Год
Набор декоративных шильдиков Подарок для тебя 17х15см 6шт 7787526;7787526;НГ;да;16,02p.;13.0;2023 Новый Год
Набор декоративных шильдиков С Новым годом! 17х15см 6шт 7787523;7787523;НГ;да;20,50p.;4.0;2023 Новый Год
Набор декоративных шильдиков Счастья в Новом Году 17х15см 6шт 2393724;2393724;НГ;да;24,82p.;5.0;2023 Новый Год
Набор декоративных шильдиков Уютного праздника 17х15см 6шт 5134185;5134185;НГ;да;20,50p.;5.0;2023 Новый Год
Набор для вышивания-1976 Любопытный тигренок 20х20см;1976сс;;да;451,00p.;3.0;2023 Новый Год
Набор прищепок с подсветкой Елочки 6шт 6249802;6249802;НГ;да;82,88p.;3.0;2023 Новый Год
Набор тэгов Незабываемого Нового Года 17, 5х14см 4308349;4308349;НГ;да;20,50p.;1.0;2023 Новый Год
Основа для творчества и декора Шар 10см 6435926;6435926;НГ;да;140,40p.;3.0;2023 Новый Год
Пуговица декоративная Снежинка 30мм черный 2806383;2806383;;да;39,47p.;8.0;2023 Новый Год
Складная коробка фигурная Зимняя сказка 11х8х2см 5шт 4381652;4381652;;да;70,14p.;9.0;2023 Новый Год
Складная коробка фигурная Мандариновое настроение 11х8х2см 5шт 4381643;4381643;;да;70,14p.;9.0;2023 Новый Год
Тесьма  металлизированная MDRP-203 20мм 3м 03 золото;MDRP3-203-03;НГ;да;74,00p.;3.0;2023 Новый Год
Тесьма пластик 2 палочки со страз 10ярд XL-SO65-D СК;XL-SO65-_;;да;420,00p.;1.0;2023 Новый Год
Ткань Зайки на празднике интерлок 100% х_б 45х50см белый 21469;21469;;да;128,58p.;4.0;2023 Новый Год
Фигурка для поделок Звезда 1.5см 80шт синий 4301890;4301890;;да;130,42p.;1.0;2023 Новый Год
Фигурка для поделок Звезда 3.5см 15шт золото 4301892;4301892;;да;117,83p.;2.0;2023 Новый Год
Фигурка для поделок Звезда 3.5см 15шт серебро 4301891;4301891;;да;117,83p.;1.0;2023 Новый Год
Фигурка для поделок Звезда 3.5см 15шт синий 4301893;4301893;;да;109,40p.;2.0;2023 Новый Год
Фигурка для поделок Шар 0.4-0.7см 100шт серебро 4301903;4301903;;да;105,30p.;2.0;2023 Новый Год
Фигурка для поделок Шар 0.4-0.7см 80шт белый 4301905;4301905;;да;105,30p.;3.0;2023 Новый Год
Фигурка для поделок Шар 0.8-1.2см 40шт синий 4301904;4301904;;да;133,38p.;3.0;2023 Новый Год
Фигурка для поделок Шар 1см 55шт белый 4301897;4301897;;да;105,30p.;7.0;2023 Новый Год
Фигурка для поделок Шар 1см 55шт золото 4301895;4301895;;да;105,30p.;1.0;2023 Новый Год
Шильдик на подарок Аромат волшебства 5.1х6см 5шт 5117768;5117768;;да;45,00p.;1.0;2023 Новый Год
Шильдик на подарок Волшебства и счастья 4.9х6.3см 5шт 7007311;7007311;;да;20,50p.;11.0;2023 Новый Год
Шильдик на подарок Время волшебства 5.6х5.6см 5шт 5117778;5117778;;да;24,70p.;1.0;2023 Новый Год
Шильдик на подарок Зимний город 5.8х5.8см 5шт 7007313;7007313;;да;24,70p.;1.0;2023 Новый Год
Шильдик на подарок Золотые шары 5.8х5.8см 5шт 7007312;7007312;;да;24,70p.;4.0;2023 Новый Год
Шильдик на подарок Новый год Новогоднее пожелание 5.2х9см 5шт 4360382;4360382;;да;20,50p.;4.0;2023 Новый Год
Шильдик на подарок Новый год Новогодний стикер 5.9х9см 5шт 4360386;4360386;;да;45,00p.;4.0;2023 Новый Год
Шильдик на подарок Новый год Оленята 4.8х9см 5шт 4360389;4360389;;да;45,00p.;3.0;2023 Новый Год
Шильдик на подарок Новый год Шишка 6.5х8.5см 5шт 4360387;4360387;;да;45,00p.;2.0;2023 Новый Год
Шильдик на подарок Пожелание 4.9х6.3см 5шт 7007314;7007314;;да;24,70p.;5.0;2023 Новый Год
Шильдик на подарок С Новым годом! 4.7х8см 5шт 5117757;5117757;;да;45,00p.;2.0;2023 Новый Год
Шильдик на подарок Снегирь 5.6х5.6см 5шт 5117774;5117774;;да;24,70p.;6.0;2023 Новый Год
Шильдик на подарок Уютного счастья 5.1х9.2см 5шт 3566113;3566113;;да;45,00p.;3.0;2023 Новый Год
Шильдик на подарок Уютное настроение 6.5х8.8см 5шт 3566108;3566108;;да;45,00p.;1.0;2023 Новый Год
Аппликация круглыми стразами Волшебного года! Веселые друзья 7018626;7018626;;нет;49,21p.;0;2023 Новый Год
Аппликация круглыми стразами Снеговик с ёлкой 3857398;3857398;НГ;нет;43,68p.;0;2023 Новый Год
Бирка Кот Обнимашки 3х4см 5шт 9077609;9077609;НГ;нет;36,66p.;0;2023 Новый Год
Бирка Олень в новогоднем костюме 5см 3885163;3885163;НГ;нет;9,95p.;0;2023 Новый Год
Брошь Ёлка сияющая радужный в серебре 4311341;4311341;нг;нет;133,90p.;0;2023 Новый Год
Брошь Ёлочка радужный в серебре 4311323;4311323;НГ;нет;159,32p.;0;2023 Новый Год
Брошь Колокольчики белый в серебре 4см х 3см х 1см 3734732;3734732;;нет;115,19p.;0;2023 Новый Год
Брошь Колокольчики праздничные цветные в черненом золоте 4311339;4311339;НГ;нет;98,81p.;0;2023 Новый Год
Брошь Конек фигурный белый в серебре 4см х 4см х 1.5см 3724023;3724023;;нет;116,75p.;0;2023 Новый Год
Брошь Конфетти цветная в золоте 4см х 5.5см х 1.8см 4437869;4437869;;нет;148,75p.;0;2023 Новый Год
Брошь Новогод.сказка Венок с голубями красно-бело-зеленый в золоте 2291791;2291791;НГ;нет;104,63p.;0;2023 Новый Год
Брошь Новогод.сказка Гномик разноцветная в золоте 2291596;2291596;НГ;нет;121,13p.;0;2023 Новый Год
Брошь Новогод.сказка Ёлочка разноцветная в золоте 2291605;2291605;НГ;нет;117,41p.;0;2023 Новый Год
Брошь Новогод.сказка Коньки фигурные крас-бел в золоте 3443539;3443539;НГ;нет;124,80p.;0;2023 Новый Год
Брошь Новогод.сказка Праздничные леденцы крас-зел. в золоте 2291663;2291663;НГ;нет;135,38p.;0;2023 Новый Год
Брошь Новогод.сказка Санта на цепочке цветн в золоте 3444177;3444177;НГ;нет;124,29p.;0;2023 Новый Год
Брошь Новогод.сказка Снеговик веселый цветная в серебре 3445922;3445922;нг;нет;117,50p.;0;2023 Новый Год
Брошь новогодняя Вережки 3х2.5см цветная в золоте 5005023;5005023;НГ;нет;141,70p.;0;2023 Новый Год
